prior,run,seed,iteration,log_X,order,symmetry,ising
cppn,3,45,0,0.0,0.0,1.0,1.0
cppn,3,45,1,-0.02,0.0,0.43046875,0.9818548387096775
cppn,3,45,2,-0.04,0.0,0.99609375,0.9984879032258065
cppn,3,45,3,-0.06,0.0,0.54140625,0.9747983870967742
cppn,3,45,4,-0.08,0.0,1.0,1.0
cppn,3,45,5,-0.1,0.0,0.58125,0.9768145161290323
cppn,3,45,6,-0.12,0.0,0.97109375,0.9919354838709677
cppn,3,45,7,-0.14,0.0,0.611328125,0.9727822580645161
cppn,3,45,8,-0.16,0.0,0.578125,0.9652217741935484
cppn,3,45,9,-0.18,0.0,1.0,1.0
cppn,3,45,10,-0.2,0.0,0.527734375,0.9747983870967742
cppn,3,45,11,-0.22,0.0,0.753125,0.9808467741935484
cppn,3,45,12,-0.24,0.0,0.419140625,0.9747983870967742
cppn,3,45,13,-0.26,0.0,1.0,1.0
cppn,3,45,14,-0.28,0.0,0.5125,0.9742943548387097
cppn,3,45,15,-0.3,0.0,0.974609375,0.9944556451612903
cppn,3,45,16,-0.32,0.0,0.736328125,0.982358870967742
cppn,3,45,17,-0.34,0.0,1.0,1.0
cppn,3,45,18,-0.36,0.0,1.0,1.0
cppn,3,45,19,-0.38,0.0,1.0,1.0
cppn,3,45,20,-0.4,0.0,1.0,1.0
cppn,3,45,21,-0.42,0.0,0.46015625,0.9763104838709677
cppn,3,45,22,-0.44,0.0,0.53671875,0.9758064516129032
cppn,3,45,23,-0.46,0.0,1.0,1.0
cppn,3,45,24,-0.48,0.0,0.973046875,0.9944556451612903
cppn,3,45,25,-0.5,0.0,0.543359375,0.9717741935483871
cppn,3,45,26,-0.52,0.0,0.410546875,0.9737903225806452
cppn,3,45,27,-0.54,0.0,0.750390625,0.9803427419354839
cppn,3,45,28,-0.56,0.0,0.595703125,0.9783266129032258
cppn,3,45,29,-0.58,0.0,1.0,1.0
cppn,3,45,30,-0.6,0.0,1.0,1.0
cppn,3,45,31,-0.62,0.0,0.477734375,0.9818548387096775
cppn,3,45,32,-0.64,0.0,0.63046875,0.9783266129032258
cppn,3,45,33,-0.66,0.0,1.0,1.0
cppn,3,45,34,-0.68,0.0,0.439453125,0.9753024193548387
cppn,3,45,35,-0.7,0.0,0.364453125,0.9753024193548387
cppn,3,45,36,-0.72,0.0,0.96875,0.9914314516129032
cppn,3,45,37,-0.74,0.0,0.426953125,0.9763104838709677
cppn,3,45,38,-0.76,0.0,0.551953125,0.9773185483870968
cppn,3,45,39,-0.78,0.0,0.49765625,0.9717741935483871
cppn,3,45,40,-0.8,0.0,1.0,1.0
cppn,3,45,41,-0.82,0.0,1.0,1.0
cppn,3,45,42,-0.84,0.0,0.52421875,0.9727822580645161
cppn,3,45,43,-0.86,0.0,0.95703125,0.9939516129032258
cppn,3,45,44,-0.88,0.0,0.998046875,0.997983870967742
cppn,3,45,45,-0.9,0.0,0.540234375,0.982358870967742
cppn,3,45,46,-0.92,0.0,0.409765625,0.9788306451612903
cppn,3,45,47,-0.94,0.0,0.5328125,0.9647177419354839
cppn,3,45,48,-0.96,0.0,0.53125,0.9692540322580645
cppn,3,45,49,-0.98,0.0,0.8125,0.9838709677419355
cppn,3,45,50,-1.0,0.0,0.475,0.9788306451612903
cppn,3,45,51,-1.02,0.0,0.42734375,0.9732862903225806
cppn,3,45,52,-1.04,0.0,0.7046875,0.9778225806451613
cppn,3,45,53,-1.06,0.0,1.0,1.0
cppn,3,45,54,-1.08,0.0,1.0,1.0
cppn,3,45,55,-1.1,0.0,0.971484375,0.9914314516129032
cppn,3,45,56,-1.12,0.0,0.855859375,0.9873991935483871
cppn,3,45,57,-1.14,0.0,0.37109375,0.9742943548387097
cppn,3,45,58,-1.16,0.0,1.0,1.0
cppn,3,45,59,-1.18,0.0,0.775390625,0.9818548387096775
cppn,3,45,60,-1.2,0.0,0.558984375,0.9798387096774194
cppn,3,45,61,-1.22,0.0,1.0,1.0
cppn,3,45,62,-1.24,0.0,0.75625,0.9758064516129032
cppn,3,45,63,-1.26,0.0,1.0,1.0
cppn,3,45,64,-1.28,0.0,0.605078125,0.9747983870967742
cppn,3,45,65,-1.3,0.0,0.765625,0.96875
cppn,3,45,66,-1.32,0.0,1.0,1.0
cppn,3,45,67,-1.34,0.0,0.93203125,0.9848790322580645
cppn,3,45,68,-1.36,0.0,0.752734375,0.9747983870967742
cppn,3,45,69,-1.38,0.0,1.0,1.0
cppn,3,45,70,-1.4,0.0,0.498828125,0.9783266129032258
cppn,3,45,71,-1.42,0.0,0.785546875,0.9803427419354839
cppn,3,45,72,-1.44,0.0,0.509765625,0.9722782258064516
cppn,3,45,73,-1.46,0.0,0.434375,0.9803427419354839
cppn,3,45,74,-1.48,0.0,0.974609375,0.9934475806451613
cppn,3,45,75,-1.5,0.0,1.0,1.0
cppn,3,45,76,-1.52,0.0,0.9765625,0.9949596774193548
cppn,3,45,77,-1.54,0.0,1.0,1.0
cppn,3,45,78,-1.56,0.0,0.5390625,0.9803427419354839
cppn,3,45,79,-1.58,0.0,0.453125,0.9783266129032258
cppn,3,45,80,-1.6,0.0,0.857421875,0.9879032258064516
cppn,3,45,81,-1.62,0.0,0.89453125,0.985383064516129
cppn,3,45,82,-1.64,0.0,0.529296875,0.9712701612903225
cppn,3,45,83,-1.66,0.0,0.389453125,0.9788306451612903
cppn,3,45,84,-1.68,0.0,0.778125,0.983366935483871
cppn,3,45,85,-1.7,0.0,0.795703125,0.984375
cppn,3,45,86,-1.72,0.0,0.49765625,0.9722782258064516
cppn,3,45,87,-1.74,0.0,1.0,1.0
cppn,3,45,88,-1.76,0.0,0.986328125,0.9954637096774194
cppn,3,45,89,-1.78,0.0,0.964453125,0.9894153225806452
cppn,3,45,90,-1.8,0.0,0.593359375,0.9712701612903225
cppn,3,45,91,-1.82,0.0,0.53046875,0.9732862903225806
cppn,3,45,92,-1.84,0.0,0.689453125,0.982358870967742
cppn,3,45,93,-1.86,0.0,1.0,1.0
cppn,3,45,94,-1.88,0.0,0.416015625,0.9758064516129032
cppn,3,45,95,-1.9,0.0,0.993359375,0.9974798387096775
cppn,3,45,96,-1.92,0.0,0.432421875,0.9747983870967742
cppn,3,45,97,-1.94,0.0,1.0,1.0
cppn,3,45,98,-1.96,0.0,1.0,1.0
cppn,3,45,99,-1.98,0.0,0.56875,0.9773185483870968
cppn,3,45,100,-2.0,0.0,1.0,1.0
cppn,3,45,101,-2.02,0.0,1.0,1.0
cppn,3,45,102,-2.04,0.0,1.0,1.0
cppn,3,45,103,-2.06,0.0,0.44609375,0.9783266129032258
cppn,3,45,104,-2.08,0.0,0.986328125,0.9959677419354839
cppn,3,45,105,-2.1,0.0,0.541796875,0.96875
cppn,3,45,106,-2.12,0.0,0.65390625,0.9838709677419355
cppn,3,45,107,-2.14,0.0,0.501171875,0.9803427419354839
cppn,3,45,108,-2.16,0.0,0.6203125,0.9717741935483871
cppn,3,45,109,-2.18,0.0,1.0,1.0
cppn,3,45,110,-2.2,0.0,1.0,1.0
cppn,3,45,111,-2.22,0.0,1.0,1.0
cppn,3,45,112,-2.24,0.0,0.616796875,0.9808467741935484
cppn,3,45,113,-2.26,0.0,0.790234375,0.9798387096774194
cppn,3,45,114,-2.28,0.0,0.61015625,0.9753024193548387
cppn,3,45,115,-2.3,0.0,0.5390625,0.967741935483871
cppn,3,45,116,-2.32,0.0,1.0,1.0
cppn,3,45,117,-2.34,0.0,0.87578125,0.983366935483871
cppn,3,45,118,-2.36,0.0,0.576171875,0.9798387096774194
cppn,3,45,119,-2.38,0.0,0.509765625,0.9763104838709677
cppn,3,45,120,-2.4,0.0,1.0,1.0
cppn,3,45,121,-2.42,0.0,0.84921875,0.986391129032258
