prior,run,seed,iteration,log_X,order,symmetry,ising
uniform,3,45,0,0.0,0.0,0.50859375,0.5050403225806451
uniform,3,45,1,-0.02,0.0,0.51328125,0.5065524193548387
uniform,3,45,2,-0.04,0.0,0.5015625,0.5080645161290323
uniform,3,45,3,-0.06,0.0,0.509765625,0.5090725806451613
uniform,3,45,4,-0.08,0.0,0.489453125,0.5060483870967742
uniform,3,45,5,-0.1,0.0,0.509375,0.4969758064516129
uniform,3,45,6,-0.12,0.0,0.499609375,0.4944556451612903
uniform,3,45,7,-0.14,0.0,0.51875,0.49798387096774194
uniform,3,45,8,-0.16,0.0,0.5078125,0.5141129032258065
uniform,3,45,9,-0.18,0.0,0.49765625,0.4939516129032258
uniform,3,45,10,-0.2,0.0,0.489453125,0.5035282258064516
uniform,3,45,11,-0.22,0.0,0.478515625,0.5030241935483871
uniform,3,45,12,-0.24,0.0,0.495703125,0.5055443548387096
uniform,3,45,13,-0.26,0.0,0.500390625,0.4808467741935484
uniform,3,45,14,-0.28,0.0,0.495703125,0.5055443548387096
uniform,3,45,15,-0.3,0.0,0.499609375,0.4944556451612903
uniform,3,45,16,-0.32,0.0,0.512109375,0.5045362903225806
uniform,3,45,17,-0.34,0.0,0.493359375,0.48689516129032256
uniform,3,45,18,-0.36,0.0,0.516796875,0.4964717741935484
uniform,3,45,19,-0.38,0.0,0.50234375,0.4964717741935484
uniform,3,45,20,-0.4,0.0,0.49765625,0.4939516129032258
uniform,3,45,21,-0.42,0.0,0.506640625,0.49747983870967744
uniform,3,45,22,-0.44,0.0,0.51328125,0.5065524193548387
uniform,3,45,23,-0.46,0.0,0.512109375,0.5045362903225806
uniform,3,45,24,-0.48,0.0,0.499609375,0.4949596774193548
uniform,3,45,25,-0.5,0.0,0.50390625,0.4954637096774194
uniform,3,45,26,-0.52,0.0,0.522265625,0.4969758064516129
uniform,3,45,27,-0.54,0.0,0.505078125,0.5045362903225806
uniform,3,45,28,-0.56,0.0,0.491796875,0.4742943548387097
uniform,3,45,29,-0.58,0.0,0.49765625,0.4939516129032258
uniform,3,45,30,-0.6,0.0,0.50234375,0.4964717741935484
uniform,3,45,31,-0.62,0.0,0.5015625,0.5080645161290323
uniform,3,45,32,-0.64,0.0,0.499609375,0.4949596774193548
uniform,3,45,33,-0.66,0.0,0.489453125,0.5055443548387096
uniform,3,45,34,-0.68,0.0,0.493359375,0.49243951612903225
uniform,3,45,35,-0.7,0.0,0.516796875,0.4964717741935484
uniform,3,45,36,-0.72,0.0,0.511328125,0.5045362903225806
uniform,3,45,37,-0.74,0.0,0.502734375,0.5171370967741935
uniform,3,45,38,-0.76,0.0,0.489453125,0.5060483870967742
uniform,3,45,39,-0.78,0.0,0.51953125,0.5105846774193549
uniform,3,45,40,-0.8,0.0,0.4875,0.5115927419354839
uniform,3,45,41,-0.82,0.0,0.502734375,0.5171370967741935
uniform,3,45,42,-0.84,0.0,0.487109375,0.4899193548387097
uniform,3,45,43,-0.86,0.0,0.5015625,0.5080645161290323
uniform,3,45,44,-0.88,0.0,0.509375,0.4969758064516129
uniform,3,45,45,-0.9,0.0,0.5078125,0.5141129032258065
uniform,3,45,46,-0.92,0.0,0.522265625,0.4969758064516129
uniform,3,45,47,-0.94,0.0,0.51875,0.49798387096774194
uniform,3,45,48,-0.96,0.0,0.502734375,0.5171370967741935
uniform,3,45,49,-0.98,0.0,0.49296875,0.48235887096774194
uniform,3,45,50,-1.0,0.0,0.489453125,0.5055443548387096
uniform,3,45,51,-1.02,0.0,0.512109375,0.5045362903225806
uniform,3,45,52,-1.04,0.0,0.49296875,0.4798387096774194
uniform,3,45,53,-1.06,0.0,0.5234375,0.4944556451612903
uniform,3,45,54,-1.08,0.0,0.523828125,0.5126008064516129
uniform,3,45,55,-1.1,0.0,0.499609375,0.5030241935483871
uniform,3,45,56,-1.12,0.0,0.4875,0.5115927419354839
uniform,3,45,57,-1.14,0.0,0.50234375,0.4964717741935484
uniform,3,45,58,-1.16,0.0,0.489453125,0.5055443548387096
uniform,3,45,59,-1.18,0.0,0.493359375,0.48689516129032256
uniform,3,45,60,-1.2,0.0,0.489453125,0.5060483870967742
uniform,3,45,61,-1.22,0.0,0.508203125,0.49143145161290325
uniform,3,45,62,-1.24,0.0,0.5234375,0.4944556451612903
uniform,3,45,63,-1.26,0.0,0.493359375,0.49243951612903225
uniform,3,45,64,-1.28,0.0,0.509765625,0.5090725806451613
uniform,3,45,65,-1.3,0.0,0.494140625,0.483366935483871
uniform,3,45,66,-1.32,0.0,0.50390625,0.4954637096774194
uniform,3,45,67,-1.34,0.0,0.51953125,0.5105846774193549
uniform,3,45,68,-1.36,0.0,0.499609375,0.4949596774193548
uniform,3,45,69,-1.38,0.0,0.499609375,0.5030241935483871
uniform,3,45,70,-1.4,0.0,0.5078125,0.5141129032258065
uniform,3,45,71,-1.42,0.0,0.508984375,0.5317540322580645
uniform,3,45,72,-1.44,0.0,0.509765625,0.5090725806451613
uniform,3,45,73,-1.46,0.0,0.505078125,0.5045362903225806
uniform,3,45,74,-1.48,0.0,0.50234375,0.4964717741935484
uniform,3,45,75,-1.5,0.0,0.491796875,0.4742943548387097
uniform,3,45,76,-1.52,0.0,0.500390625,0.4808467741935484
uniform,3,45,77,-1.54,0.0,0.50390625,0.4954637096774194
uniform,3,45,78,-1.56,0.0,0.5015625,0.5080645161290323
uniform,3,45,79,-1.58,0.0,0.49296875,0.48235887096774194
uniform,3,45,80,-1.6,0.0,0.49296875,0.48235887096774194
uniform,3,45,81,-1.62,0.0,0.499609375,0.4949596774193548
uniform,3,45,82,-1.64,0.0,0.508203125,0.49143145161290325
uniform,3,45,83,-1.66,0.0,0.501171875,0.48235887096774194
uniform,3,45,84,-1.68,0.0,0.491015625,0.49143145161290325
uniform,3,45,85,-1.7,0.0,0.509375,0.4969758064516129
uniform,3,45,86,-1.72,0.0,0.491015625,0.49143145161290325
uniform,3,45,87,-1.74,0.0,0.49296875,0.48235887096774194
uniform,3,45,88,-1.76,0.0,0.493359375,0.49243951612903225
uniform,3,45,89,-1.78,0.0,0.50859375,0.5075604838709677
uniform,3,45,90,-1.8,0.0,0.50234375,0.4964717741935484
uniform,3,45,91,-1.82,0.0,0.5078125,0.5141129032258065
uniform,3,45,92,-1.84,0.0,0.50234375,0.4964717741935484
uniform,3,45,93,-1.86,0.0,0.523828125,0.5126008064516129
uniform,3,45,94,-1.88,0.0,0.5234375,0.4944556451612903
uniform,3,45,95,-1.9,0.0,0.499609375,0.5030241935483871
uniform,3,45,96,-1.92,0.0,0.49296875,0.4798387096774194
uniform,3,45,97,-1.94,0.0,0.500390625,0.4808467741935484
uniform,3,45,98,-1.96,0.0,0.502734375,0.5171370967741935
uniform,3,45,99,-1.98,0.0,0.499609375,0.4944556451612903
uniform,3,45,100,-2.0,0.0,0.48671875,0.5015120967741935
uniform,3,45,101,-2.02,0.0,0.511328125,0.5045362903225806
uniform,3,45,102,-2.04,0.0,0.478515625,0.5030241935483871
uniform,3,45,103,-2.06,0.0,0.50234375,0.4964717741935484
uniform,3,45,104,-2.08,0.0,0.51328125,0.5065524193548387
uniform,3,45,105,-2.1,0.0,0.493359375,0.49243951612903225
uniform,3,45,106,-2.12,0.0,0.5125,0.4894153225806452
uniform,3,45,107,-2.14,0.0,0.487109375,0.4899193548387097
uniform,3,45,108,-2.16,0.0,0.478515625,0.5030241935483871
uniform,3,45,109,-2.18,0.0,0.50234375,0.4964717741935484
uniform,3,45,110,-2.2,0.0,0.5078125,0.4939516129032258
uniform,3,45,111,-2.22,0.0,0.505078125,0.5045362903225806
uniform,3,45,112,-2.24,0.0,0.494140625,0.483366935483871
uniform,3,45,113,-2.26,0.0,0.50234375,0.4964717741935484
uniform,3,45,114,-2.28,0.0,0.51328125,0.5065524193548387
uniform,3,45,115,-2.3,0.0,0.501171875,0.48235887096774194
uniform,3,45,116,-2.32,0.0,0.494921875,0.5226814516129032
uniform,3,45,117,-2.34,0.0,0.51953125,0.48588709677419356
uniform,3,45,118,-2.36,0.0,0.51875,0.49798387096774194
uniform,3,45,119,-2.38,0.0,0.51328125,0.5065524193548387
uniform,3,45,120,-2.4,0.0,0.508984375,0.5317540322580645
uniform,3,45,121,-2.42,0.0,0.493359375,0.48689516129032256
uniform,3,45,122,-2.44,0.0,0.499609375,0.5030241935483871
uniform,3,45,123,-2.46,0.0,0.49296875,0.4798387096774194
uniform,3,45,124,-2.48,0.0,0.5234375,0.4944556451612903
uniform,3,45,125,-2.5,0.0,0.480078125,0.5040322580645161
uniform,3,45,126,-2.52,0.0,0.509765625,0.5090725806451613
uniform,3,45,127,-2.54,0.0,0.5078125,0.5141129032258065
uniform,3,45,128,-2.56,0.0,0.499609375,0.4949596774193548
uniform,3,45,129,-2.58,0.0,0.5078125,0.5141129032258065
uniform,3,45,130,-2.6,0.0,0.496484375,0.5020161290322581
uniform,3,45,131,-2.62,0.0,0.489453125,0.5060483870967742
uniform,3,45,132,-2.64,0.0,0.489453125,0.5035282258064516
uniform,3,45,133,-2.66,0.0,0.487109375,0.4899193548387097
uniform,3,45,134,-2.68,0.0,0.511328125,0.5045362903225806
uniform,3,45,135,-2.7,0.0,0.50234375,0.4964717741935484
uniform,3,45,136,-2.72,0.0,0.50390625,0.4954637096774194
uniform,3,45,137,-2.74,0.0,0.49765625,0.4939516129032258
uniform,3,45,138,-2.76,0.0,0.509375,0.4969758064516129
uniform,3,45,139,-2.78,0.0,0.49765625,0.4939516129032258
uniform,3,45,140,-2.8,0.0,0.489453125,0.5055443548387096
uniform,3,45,141,-2.82,0.0,0.506640625,0.49747983870967744
uniform,3,45,142,-2.84,0.0,0.5125,0.4894153225806452
uniform,3,45,143,-2.86,0.0,0.496484375,0.5020161290322581
uniform,3,45,144,-2.88,0.0,0.48671875,0.5015120967741935
uniform,3,45,145,-2.9,0.0,0.509375,0.4969758064516129
uniform,3,45,146,-2.92,0.0,0.5234375,0.4944556451612903
uniform,3,45,147,-2.94,0.0,0.489453125,0.5055443548387096
uniform,3,45,148,-2.96,0.0,0.5234375,0.4944556451612903
uniform,3,45,149,-2.98,0.0,0.522265625,0.4969758064516129
