prior,run,seed,final_order_mean,final_order_min,final_order_max,final_unique_patterns,final_live_n
cppn,0,42,0.047058063741322466,0.047056945250926595,0.047058161001356895,21,50
cppn,1,43,0.047007826182739375,0.0469361109995667,0.047058161001356895,46,50
cppn,2,44,0.04703784605452376,0.04700453361492733,0.0470581610013569,48,50
cppn,3,45,0.047048590312507736,0.04703211745740721,0.047058161001356895,43,50
cppn,4,46,0.0466343939353289,0.04578600268355509,0.047056945250926595,48,50
cppn,5,47,0.04702289453522443,0.046961991128974596,0.047058161001356895,42,50
cppn,6,48,0.047044350609354364,0.04702118729127986,0.047058161001356895,44,50
cppn,7,49,0.04705669461787518,0.047052638703357186,0.0470581610013569,36,50
cppn,8,50,0.04697889335520337,0.046832137395750865,0.047058161001356895,43,50
cppn,9,51,0.047032485720000246,0.04700056983748758,0.0470581610013569,40,50
uniform,0,42,0.0,0.0,0.0,49,50
uniform,1,43,0.0,0.0,0.0,49,50
uniform,2,44,0.0,0.0,0.0,49,50
uniform,3,45,0.0,0.0,0.0,49,50
uniform,4,46,0.0,0.0,0.0,49,50
uniform,5,47,0.0,0.0,0.0,49,50
uniform,6,48,0.0,0.0,0.0,49,50
uniform,7,49,0.0,0.0,0.0,49,50
uniform,8,50,0.0,0.0,0.0,49,50
uniform,9,51,0.0,0.0,0.0,49,50
dsl,0,42,0.04469412405038541,0.04375732335228843,0.05044875691012409,4,50
dsl,1,43,0.009221970573309757,0.007828779849499664,0.042658547944751976,2,50
dsl,2,44,0.05044606835202219,0.05044606835202219,0.05044606835202219,1,50
dsl,3,45,0.04357224814181822,0.04357224814181821,0.04357224814181821,2,50
dsl,4,46,0.012314814384164943,0.007828779849499664,0.030600952044889412,3,50
dsl,5,47,0.02182419967444049,0.01719447272009243,0.03687476463339116,6,50
dsl,6,48,0.04106190072591006,0.04106190072591006,0.04106190072591006,1,50
dsl,7,49,0.04357224814181822,0.04357224814181821,0.04357224814181821,2,50
dsl,8,50,0.04409943063301899,0.04375732335228843,0.04967587607772358,3,50
dsl,9,51,0.04357224814181822,0.04357224814181821,0.04357224814181821,1,50
