prior,iteration,log_X,order_mean,order_std,order_q16,order_q50,order_q84,symmetry_mean,symmetry_std,symmetry_q16,symmetry_q50,symmetry_q84,ising_mean,ising_std,ising_q16,ising_q50,ising_q84,n_runs
cppn,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8026171874999999,0.20035344152936477,0.5882499999999999,0.8119140625,1.0,0.9861895161290322,0.012380922006762742,0.9743951612903226,0.9821068548387096,1.0,10
cppn,1,-0.02,0.0,0.0,0.0,0.0,0.0,0.7011328125,0.23634010171098305,0.45109375,0.6761718750000001,1.0,0.9847278225806451,0.01098654158640869,0.9751209677419356,0.9803427419354839,1.0,10
cppn,2,-0.04,0.0,0.0,0.0,0.0,0.0,0.758671875,0.2150925642552914,0.556296875,0.68515625,0.99828125,0.9867943548387098,0.010872256080396572,0.9780443548387097,0.9816028225806452,0.9993346774193549,10
cppn,3,-0.06,0.0,0.0,0.0,0.0,0.0,0.7421874999999999,0.21712902327778746,0.56753125,0.6712890625000001,0.982078125,0.9844254032258064,0.00978927594041973,0.9750201612903227,0.9818548387096775,0.9955443548387097,10
cppn,4,-0.08,0.0,0.0,0.0,0.0,0.0,0.749765625,0.22997749550227736,0.49653125,0.7013671875,1.0,0.9862399193548388,0.012784392912470305,0.9771975806451613,0.9821068548387097,1.0,10
cppn,5,-0.1,0.0,0.0,0.0,0.0,0.0,0.743125,0.19286102129553354,0.5375000000000001,0.7412109375,0.939375,0.979334677419355,0.009112937918226238,0.9724193548387097,0.9773185483870968,0.9884274193548387,10
cppn,6,-0.12,0.0,0.0,0.0,0.0,0.0,0.8651953125,0.18042444460506454,0.675859375,0.946484375,1.0,0.9875504032258065,0.01403478202206255,0.9770766129032258,0.990171370967742,1.0,10
cppn,7,-0.14,0.0,0.0,0.0,0.0,0.0,0.87015625,0.17521670532787353,0.65859375,0.983203125,1.0,0.9917338709677418,0.010069998858436024,0.9821774193548387,0.9967237903225806,1.0,10
cppn,8,-0.16,0.0,0.0,0.0,0.0,0.0,0.7725000000000001,0.21683313479305702,0.53159375,0.8140624999999999,0.993125,0.985383064516129,0.011844460169364643,0.9775403225806452,0.9818548387096774,0.9982258064516129,10
cppn,9,-0.18,0.0,0.0,0.0,0.0,0.0,0.8128125,0.2292986717348685,0.5898125,0.96484375,0.99828125,0.9868447580645162,0.014438078105581672,0.9697177419354839,0.9944556451612903,0.9993346774193549,10
cppn,10,-0.2,0.0,0.0,0.0,0.0,0.0,0.9508203125,0.1487839125328432,0.9890625,1.0,1.0,0.9970766129032258,0.007929680369395814,0.997741935483871,1.0,1.0,10
cppn,11,-0.22,0.0,0.0,0.0,0.0,0.0,0.7075390625,0.2081102361778926,0.512453125,0.6365234375,0.982109375,0.9853326612903226,0.00843557879811512,0.9788709677419355,0.9816028225806452,0.9955443548387097,10
cppn,12,-0.24,0.0,0.0,0.0,0.0,0.0,0.59703125,0.19174583679657675,0.4248125,0.543359375,0.822953125,0.9786794354838712,0.005863791897591221,0.9754637096774194,0.979586693548387,0.9814112903225807,10
cppn,13,-0.26,0.0,0.0,0.0,0.0,0.0,0.8182031249999999,0.2381010389802087,0.5123125,0.957421875,1.0,0.9894153225806452,0.010389532818373865,0.9780443548387097,0.9896673387096774,1.0,10
cppn,14,-0.28,0.0,0.0,0.0,0.0,0.0,0.7948828124999999,0.20755791975404328,0.5882968749999999,0.7886718749999999,1.0,0.9837701612903228,0.014578842031749403,0.9689516129032258,0.9790826612903225,1.0,10
cppn,15,-0.3,0.0,0.0,0.0,0.0,0.0,0.8285546875000002,0.17856253087719223,0.6369843749999999,0.8939453125,1.0,0.9882560483870968,0.010346107061536056,0.9789314516129032,0.9889112903225807,1.0,10
