prior,run,seed,iteration,log_X,order,symmetry,ising
uniform,2,44,0,-0.02,2.34531229060561e-06,0.5,0.46622983870967744
uniform,2,44,1,-0.04,2.585559880290156e-06,0.518359375,0.47631048387096775
uniform,2,44,2,-0.06,3.5154152629567825e-06,0.496484375,0.4788306451612903
uniform,2,44,3,-0.08,3.88074625998227e-06,0.50234375,0.4798387096774194
uniform,2,44,4,-0.1,4.145721365881086e-06,0.495703125,0.4808467741935484
uniform,2,44,5,-0.12,4.648782113933985e-06,0.510546875,0.4838709677419355
uniform,2,44,6,-0.14,4.679611051749568e-06,0.501171875,0.48639112903225806
uniform,2,44,7,-0.16,5.283961841013739e-06,0.503125,0.48185483870967744
uniform,2,44,8,-0.18,5.544223099005183e-06,0.494921875,0.48689516129032256
uniform,2,44,9,-0.2,5.662374862492223e-06,0.51171875,0.4848790322580645
uniform,2,44,10,-0.22,5.91289547122639e-06,0.49921875,0.48689516129032256
uniform,2,44,11,-0.24,5.984402403172992e-06,0.499609375,0.4803427419354839
uniform,2,44,12,-0.26,6.1355437299524315e-06,0.51640625,0.4788306451612903
uniform,2,44,13,-0.28,6.7307960046602735e-06,0.509375,0.48639112903225806
uniform,2,44,14,-0.3,7.65367619352272e-06,0.50390625,0.48538306451612906
uniform,2,44,15,-0.32,7.925652055288752e-06,0.492578125,0.48588709677419356
uniform,2,44,16,-0.34,8.477622361897278e-06,0.49375,0.4954637096774194
uniform,2,44,17,-0.36,8.905847730633658e-06,0.50546875,0.4934475806451613
uniform,2,44,18,-0.38,9.009224626946658e-06,0.494140625,0.4949596774193548
uniform,2,44,19,-0.4,1.0251597630467584e-05,0.501171875,0.4944556451612903
uniform,2,44,20,-0.42,1.0339905053270914e-05,0.498828125,0.4994959677419355
uniform,2,44,21,-0.44,1.072898128781753e-05,0.4890625,0.49848790322580644
uniform,2,44,22,-0.46,1.0813743442117377e-05,0.49296875,0.49848790322580644
uniform,2,44,23,-0.48,1.1084906260556433e-05,0.503515625,0.4909274193548387
uniform,2,44,24,-0.5,1.1347028441725978e-05,0.51015625,0.5015120967741935
uniform,2,44,25,-0.52,1.1386202660149529e-05,0.506640625,0.49143145161290325
uniform,2,44,26,-0.54,1.1451865295905431e-05,0.493359375,0.4954637096774194
uniform,2,44,27,-0.56,1.1489508672896915e-05,0.50078125,0.49243951612903225
