prior,run,seed,final_order_mean,final_order_min,final_order_max,final_unique_patterns,final_live_n
cppn,0,42,0.5964209101665673,0.5964104046615721,0.596935679911326,2,50
cppn,1,43,0.5786360079000187,0.5786360079000186,0.5786360079000186,1,50
cppn,2,44,0.5846089241418633,0.5846089241418632,0.5846089241418632,1,50
cppn,3,45,0.5886226208961303,0.5886226208961303,0.5886226208961303,1,50
cppn,4,46,0.5839385410991914,0.5839385410991914,0.5839385410991914,1,50
cppn,5,47,0.5749504174618969,0.5749504174618969,0.5749504174618969,1,50
cppn,6,48,0.5927848094974618,0.5927848094974617,0.5927848094974617,1,50
cppn,7,49,0.5892312739683735,0.5892312739683735,0.5892312739683735,1,50
cppn,8,50,0.5935215185298328,0.5935215185298328,0.5935215185298328,1,50
cppn,9,51,0.575417469950721,0.575417469950721,0.575417469950721,1,50
uniform,0,42,0.016389425002528303,0.015570250811304474,0.019376560585152865,50,50
uniform,1,43,0.01574616326593543,0.015036191910793745,0.01759015311929303,50,50
uniform,2,44,0.015018433525422332,0.014421092760238565,0.016865220221113312,50,50
uniform,3,45,0.014324092697184982,0.013463278681089387,0.01852445199529059,50,50
uniform,4,46,0.01604978152661145,0.015211445834723478,0.018932259295745987,50,50
uniform,5,47,0.01733690407839088,0.01638444537632884,0.02049475406417297,50,50
uniform,6,48,0.01684286358411206,0.016087324561720535,0.018535666175624046,50,50
uniform,7,49,0.015786117339214933,0.014907519329484985,0.01844025570869896,50,50
uniform,8,50,0.015068829237379905,0.014235805418664814,0.017685277819853924,50,50
uniform,9,51,0.015978400748705723,0.015188716931870514,0.018008148219539343,50,50
dsl,0,42,1.0,1.0,1.0,6,50
dsl,1,43,1.0,1.0,1.0,19,50
dsl,2,44,1.0,1.0,1.0,15,50
dsl,3,45,1.0,1.0,1.0,7,50
dsl,4,46,1.0,1.0,1.0,13,50
dsl,5,47,1.0,1.0,1.0,3,50
dsl,6,48,1.0,1.0,1.0,12,50
dsl,7,49,1.0,1.0,1.0,6,50
dsl,8,50,1.0,1.0,1.0,6,50
dsl,9,51,1.0,1.0,1.0,5,50
