prior,run,seed,iteration,log_X,order,symmetry,ising
dsl,1,43,0,0.0,0.0,0.4,0.9838709677419355
dsl,1,43,1,-0.02,0.0,0.4,0.9838709677419355
dsl,1,43,2,-0.04,0.0,0.9234375,0.9848790322580645
dsl,1,43,3,-0.06,0.0,0.4,0.9838709677419355
dsl,1,43,4,-0.08,0.0,0.4,0.9838709677419355
dsl,1,43,5,-0.1,0.0,0.5265625,0.9758064516129032
dsl,1,43,6,-0.12,0.0,0.400390625,0.920866935483871
dsl,1,43,7,-0.14,0.0,0.4,0.9838709677419355
dsl,1,43,8,-0.16,0.0,0.4,0.9838709677419355
dsl,1,43,9,-0.18,0.0,0.4,0.9838709677419355
dsl,1,43,10,-0.2,0.0,1.0,1.0
dsl,1,43,11,-0.22,0.0,0.4,0.9838709677419355
dsl,1,43,12,-0.24,0.0,0.4,0.9838709677419355
dsl,1,43,13,-0.26,0.0,0.99765625,0.997983870967742
dsl,1,43,14,-0.28,0.0,0.4,0.9838709677419355
dsl,1,43,15,-0.3,0.0,0.4,0.9838709677419355
dsl,1,43,16,-0.32,0.0,0.4,0.9838709677419355
dsl,1,43,17,-0.34,0.0,0.4,0.9838709677419355
dsl,1,43,18,-0.36,0.0,1.0,1.0
dsl,1,43,19,-0.38,0.0,1.0,1.0
dsl,1,43,20,-0.4,0.0,0.4,0.9838709677419355
dsl,1,43,21,-0.42,0.0,0.65,0.967741935483871
dsl,1,43,22,-0.44,0.0,0.4,0.9838709677419355
dsl,1,43,23,-0.46,0.0,1.0,1.0
dsl,1,43,24,-0.48,0.0,0.4,0.9838709677419355
dsl,1,43,25,-0.5,0.0,0.4,0.9838709677419355
dsl,1,43,26,-0.52,0.0,0.4,0.9838709677419355
dsl,1,43,27,-0.54,0.0,0.4,0.9838709677419355
dsl,1,43,28,-0.56,0.0,1.0,1.0
dsl,1,43,29,-0.58,0.0,0.4,0.9838709677419355
dsl,1,43,30,-0.6,0.0,0.4,0.9838709677419355
dsl,1,43,31,-0.62,0.0,0.4,0.9838709677419355
dsl,1,43,32,-0.64,0.0,1.0,1.0
dsl,1,43,33,-0.66,0.0,0.4,0.9838709677419355
dsl,1,43,34,-0.68,7.4364124293737285e-06,1.0,1.0
dsl,1,43,35,-0.7,7.4364124293737285e-06,1.0,1.0
dsl,1,43,36,-0.72,7.4364124293737285e-06,1.0,1.0
dsl,1,43,37,-0.74,7.4364124293737285e-06,1.0,1.0
dsl,1,43,38,-0.76,7.4364124293737285e-06,1.0,1.0
dsl,1,43,39,-0.78,7.4364124293737285e-06,1.0,1.0
dsl,1,43,40,-0.8,7.4364124293737285e-06,1.0,1.0
dsl,1,43,41,-0.82,7.4364124293737285e-06,1.0,1.0
dsl,1,43,42,-0.84,7.4364124293737285e-06,1.0,1.0
dsl,1,43,43,-0.86,7.4364124293737285e-06,1.0,1.0
dsl,1,43,44,-0.88,7.4364124293737285e-06,1.0,1.0
dsl,1,43,45,-0.9,7.4364124293737285e-06,1.0,1.0
dsl,1,43,46,-0.92,7.4364124293737285e-06,1.0,1.0
dsl,1,43,47,-0.94,7.4364124293737285e-06,1.0,1.0
dsl,1,43,48,-0.96,7.4364124293737285e-06,1.0,1.0
dsl,1,43,49,-0.98,7.4364124293737285e-06,1.0,1.0
dsl,1,43,50,-1.0,7.4364124293737285e-06,1.0,1.0
dsl,1,43,51,-1.02,7.4364124293737285e-06,1.0,1.0
dsl,1,43,52,-1.04,7.4364124293737285e-06,1.0,1.0
dsl,1,43,53,-1.06,7.4364124293737285e-06,1.0,1.0
dsl,1,43,54,-1.08,7.4364124293737285e-06,1.0,1.0
dsl,1,43,55,-1.1,7.4364124293737285e-06,1.0,1.0
dsl,1,43,56,-1.12,7.4364124293737285e-06,1.0,1.0
dsl,1,43,57,-1.14,7.4364124293737285e-06,1.0,1.0
dsl,1,43,58,-1.16,7.4364124293737285e-06,1.0,1.0
dsl,1,43,59,-1.18,7.4364124293737285e-06,1.0,1.0
dsl,1,43,60,-1.2,7.4364124293737285e-06,1.0,1.0
dsl,1,43,61,-1.22,7.4364124293737285e-06,1.0,1.0
dsl,1,43,62,-1.24,7.4364124293737285e-06,1.0,1.0
dsl,1,43,63,-1.26,7.4364124293737285e-06,1.0,1.0
dsl,1,43,64,-1.28,7.4364124293737285e-06,1.0,1.0
dsl,1,43,65,-1.3,7.4364124293737285e-06,1.0,1.0
dsl,1,43,66,-1.32,7.4364124293737285e-06,1.0,1.0
dsl,1,43,67,-1.34,7.4364124293737285e-06,1.0,1.0
dsl,1,43,68,-1.36,7.4364124293737285e-06,1.0,1.0
dsl,1,43,69,-1.38,7.4364124293737285e-06,1.0,1.0
dsl,1,43,70,-1.4,7.4364124293737285e-06,1.0,1.0
dsl,1,43,71,-1.42,7.4364124293737285e-06,1.0,1.0
dsl,1,43,72,-1.44,7.4364124293737285e-06,1.0,1.0
dsl,1,43,73,-1.46,7.4364124293737285e-06,1.0,1.0
dsl,1,43,74,-1.48,7.4364124293737285e-06,1.0,1.0
dsl,1,43,75,-1.5,7.4364124293737285e-06,1.0,1.0
dsl,1,43,76,-1.52,7.4364124293737285e-06,1.0,1.0
dsl,1,43,77,-1.54,7.4364124293737285e-06,1.0,1.0
dsl,1,43,78,-1.56,7.4364124293737285e-06,1.0,1.0
dsl,1,43,79,-1.58,7.4364124293737285e-06,1.0,1.0
dsl,1,43,80,-1.6,7.4364124293737285e-06,1.0,1.0
dsl,1,43,81,-1.62,7.4364124293737285e-06,1.0,1.0
dsl,1,43,82,-1.64,7.4364124293737285e-06,1.0,1.0
dsl,1,43,83,-1.66,7.4364124293737285e-06,1.0,1.0
dsl,1,43,84,-1.68,7.4364124293737285e-06,1.0,1.0
dsl,1,43,85,-1.7,7.4364124293737285e-06,1.0,1.0
dsl,1,43,86,-1.72,7.4364124293737285e-06,1.0,1.0
dsl,1,43,87,-1.74,7.4364124293737285e-06,1.0,1.0
dsl,1,43,88,-1.76,7.4364124293737285e-06,1.0,1.0
dsl,1,43,89,-1.78,7.4364124293737285e-06,1.0,1.0
dsl,1,43,90,-1.8,7.4364124293737285e-06,1.0,1.0
dsl,1,43,91,-1.82,7.4364124293737285e-06,1.0,1.0
dsl,1,43,92,-1.84,7.4364124293737285e-06,1.0,1.0
dsl,1,43,93,-1.86,7.4364124293737285e-06,1.0,1.0
dsl,1,43,94,-1.88,7.4364124293737285e-06,1.0,1.0
dsl,1,43,95,-1.9,7.4364124293737285e-06,1.0,1.0
dsl,1,43,96,-1.92,7.4364124293737285e-06,1.0,1.0
dsl,1,43,97,-1.94,7.4364124293737285e-06,1.0,1.0
dsl,1,43,98,-1.96,7.4364124293737285e-06,1.0,1.0
dsl,1,43,99,-1.98,7.4364124293737285e-06,1.0,1.0
dsl,1,43,100,-2.0,7.4364124293737285e-06,1.0,1.0
dsl,1,43,101,-2.02,7.4364124293737285e-06,1.0,1.0
dsl,1,43,102,-2.04,7.4364124293737285e-06,1.0,1.0
dsl,1,43,103,-2.06,7.4364124293737285e-06,1.0,1.0
dsl,1,43,104,-2.08,7.4364124293737285e-06,1.0,1.0
dsl,1,43,105,-2.1,7.4364124293737285e-06,1.0,1.0
dsl,1,43,106,-2.12,7.4364124293737285e-06,1.0,1.0
