prior,iteration,log_X,order_mean,order_std,order_q16,order_q50,order_q84,symmetry_mean,symmetry_std,symmetry_q16,symmetry_q50,symmetry_q84,ising_mean,ising_std,ising_q16,ising_q50,ising_q84,n_runs
dsl,0,-0.02,0.004147380080290953,0.0,0.004147380080290953,0.004147380080290953,0.004147380080290953,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10
dsl,1,-0.04,0.004147380080290953,0.0,0.004147380080290953,0.004147380080290953,0.004147380080290953,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10
dsl,2,-0.06,0.004147380080290953,0.0,0.004147380080290953,0.004147380080290953,0.004147380080290953,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10
dsl,3,-0.08,0.004160141249768772,4.0354361157327535e-05,0.004147380080290953,0.004147380080290953,0.004147380080290953,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10
dsl,4,-0.1,0.00417290241924659,5.380581487643672e-05,0.004147380080290953,0.004147380080290953,0.004218842629366735,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10
dsl,5,-0.12,0.00417290241924659,5.380581487643672e-05,0.004147380080290953,0.004147380080290953,0.004218842629366735,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10
dsl,6,-0.14,0.004198424758202227,6.589839582096113e-05,0.004147380080290953,0.004147380080290953,0.004274991775069136,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10
dsl,7,-0.16,0.004198424758202227,6.589839582096113e-05,0.004147380080290953,0.004147380080290953,0.004274991775069136,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10
dsl,8,-0.18,0.004198424758202227,6.589839582096113e-05,0.004147380080290953,0.004147380080290953,0.004274991775069136,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10
dsl,9,-0.2,0.004211185927680045,6.72572685955459e-05,0.004147380080290953,0.004211185927680045,0.004274991775069136,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10
