prior,run,seed,iteration,log_X,order,symmetry,ising
cppn,4,46,0,0.0,0.0,0.580859375,0.9732862903225806
cppn,4,46,1,-0.02,0.0,0.585546875,0.9768145161290323
cppn,4,46,2,-0.04,0.0,0.6203125,0.9783266129032258
cppn,4,46,3,-0.06,0.0,0.965234375,0.9924395161290323
cppn,4,46,4,-0.08,0.0,1.0,1.0
cppn,4,46,5,-0.1,0.0,0.921875,0.9904233870967742
cppn,4,46,6,-0.12,0.0,1.0,1.0
cppn,4,46,7,-0.14,0.0,0.5671875,0.9808467741935484
cppn,4,46,8,-0.16,0.0,0.97265625,0.9954637096774194
cppn,4,46,9,-0.18,0.0,0.59921875,0.9657258064516129
cppn,4,46,10,-0.2,0.0,1.0,1.0
cppn,4,46,11,-0.22,0.0,1.0,1.0
cppn,4,46,12,-0.24,0.0,0.865234375,0.966733870967742
cppn,4,46,13,-0.26,0.0,0.970703125,0.9838709677419355
cppn,4,46,14,-0.28,0.0,0.783984375,0.966733870967742
cppn,4,46,15,-0.3,0.0,1.0,1.0
cppn,4,46,16,-0.32,0.0,0.9359375,0.9808467741935484
cppn,4,46,17,-0.34,0.0,0.53359375,0.9742943548387097
cppn,4,46,18,-0.36,0.0,0.6046875,0.9783266129032258
cppn,4,46,19,-0.38,0.0,0.8765625,0.9818548387096775
cppn,4,46,20,-0.4,0.0,0.844921875,0.9732862903225806
cppn,4,46,21,-0.42,0.0,1.0,1.0
cppn,4,46,22,-0.44,0.0,0.43984375,0.9768145161290323
cppn,4,46,23,-0.46,0.0,0.5078125,0.9808467741935484
cppn,4,46,24,-0.48,0.0,0.9765625,0.9909274193548387
cppn,4,46,25,-0.5,0.0,0.541015625,0.9778225806451613
cppn,4,46,26,-0.52,0.0,0.890625,0.9884072580645161
cppn,4,46,27,-0.54,0.0,0.60859375,0.9747983870967742
cppn,4,46,28,-0.56,0.0,1.0,1.0
cppn,4,46,29,-0.58,0.0,0.4296875,0.9768145161290323
cppn,4,46,30,-0.6,0.0,0.55625,0.9758064516129032
cppn,4,46,31,-0.62,0.0,0.6296875,0.9647177419354839
cppn,4,46,32,-0.64,0.0,0.891796875,0.9858870967741935
cppn,4,46,33,-0.66,0.0,1.0,1.0
cppn,4,46,34,-0.68,0.0,1.0,1.0
cppn,4,46,35,-0.7,0.0,0.939453125,0.9924395161290323
cppn,4,46,36,-0.72,0.0,0.649609375,0.9763104838709677
cppn,4,46,37,-0.74,0.0,0.642578125,0.9662298387096775
cppn,4,46,38,-0.76,0.0,0.51640625,0.967741935483871
cppn,4,46,39,-0.78,0.0,0.494921875,0.9798387096774194
cppn,4,46,40,-0.8,0.0,0.818359375,0.9873991935483871
cppn,4,46,41,-0.82,0.0,0.873046875,0.9879032258064516
cppn,4,46,42,-0.84,0.0,0.4796875,0.9742943548387097
cppn,4,46,43,-0.86,0.0,1.0,1.0
cppn,4,46,44,-0.88,0.0,0.498828125,0.9778225806451613
cppn,4,46,45,-0.9,0.0,1.0,1.0
cppn,4,46,46,-0.92,0.0,1.0,1.0
cppn,4,46,47,-0.94,0.0,0.788671875,0.9848790322580645
cppn,4,46,48,-0.96,0.0,1.0,1.0
cppn,4,46,49,-0.98,0.0,0.569921875,0.9773185483870968
cppn,4,46,50,-1.0,0.0,0.580078125,0.9742943548387097
cppn,4,46,51,-1.02,0.0,0.99609375,0.9929435483870968
cppn,4,46,52,-1.04,0.0,1.0,1.0
cppn,4,46,53,-1.06,0.0,0.64453125,0.9753024193548387
cppn,4,46,54,-1.08,0.0,0.381640625,0.9768145161290323
cppn,4,46,55,-1.1,0.0,0.576171875,0.9742943548387097
cppn,4,46,56,-1.12,0.0,0.48359375,0.9773185483870968
cppn,4,46,57,-1.14,0.0,1.0,1.0
cppn,4,46,58,-1.16,0.0,0.428125,0.9768145161290323
cppn,4,46,59,-1.18,0.0,0.48359375,0.9722782258064516
cppn,4,46,60,-1.2,0.0,1.0,1.0
cppn,4,46,61,-1.22,0.0,0.87109375,0.9889112903225806
cppn,4,46,62,-1.24,0.0,1.0,1.0
cppn,4,46,63,-1.26,0.0,0.389453125,0.9758064516129032
cppn,4,46,64,-1.28,0.0,1.0,1.0
cppn,4,46,65,-1.3,0.0,1.0,1.0
cppn,4,46,66,-1.32,0.0,0.41953125,0.9742943548387097
cppn,4,46,67,-1.34,0.0,0.646875,0.9747983870967742
cppn,4,46,68,-1.36,0.0,0.937109375,0.9909274193548387
cppn,4,46,69,-1.38,0.0,1.0,1.0
cppn,4,46,70,-1.4,0.0,0.61953125,0.9798387096774194
cppn,4,46,71,-1.42,0.0,1.0,1.0
cppn,4,46,72,-1.44,0.0,0.747265625,0.9818548387096775
cppn,4,46,73,-1.46,0.0,0.994140625,0.997983870967742
cppn,4,46,74,-1.48,0.0,0.98828125,0.9959677419354839
cppn,4,46,75,-1.5,0.0,0.547265625,0.9758064516129032
cppn,4,46,76,-1.52,0.0,0.78203125,0.9868951612903225
cppn,4,46,77,-1.54,0.0,0.49453125,0.9758064516129032
cppn,4,46,78,-1.56,0.0,0.553515625,0.9722782258064516
cppn,4,46,79,-1.58,0.0,1.0,1.0
cppn,4,46,80,-1.6,0.0,0.733203125,0.982358870967742
cppn,4,46,81,-1.62,0.0,1.0,1.0
cppn,4,46,82,-1.64,0.0,0.49609375,0.9717741935483871
cppn,4,46,83,-1.66,0.0,0.5515625,0.969758064516129
cppn,4,46,84,-1.68,0.0,0.89296875,0.970766129032258
cppn,4,46,85,-1.7,0.0,1.0,1.0
cppn,4,46,86,-1.72,0.0,0.45625,0.982358870967742
cppn,4,46,87,-1.74,0.0,0.755078125,0.9753024193548387
cppn,4,46,88,-1.76,0.0,0.871875,0.9879032258064516
cppn,4,46,89,-1.78,0.0,1.0,1.0
cppn,4,46,90,-1.8,0.0,0.478125,0.9778225806451613
cppn,4,46,91,-1.82,0.0,1.0,1.0
cppn,4,46,92,-1.84,0.0,0.555078125,0.9758064516129032
