prior,iteration,log_X,order_mean,order_std,order_q16,order_q50,order_q84,symmetry_mean,symmetry_std,symmetry_q16,symmetry_q50,symmetry_q84,ising_mean,ising_std,ising_q16,ising_q50,ising_q84,n_runs
uniform,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000390625000001,0.00832814372913257,0.492828125,0.5003906250000001,0.5088125,0.5004032258064516,0.006545091711916709,0.4944556451612903,0.49773185483870963,0.507016129032258,10
uniform,1,-0.02,0.0,0.0,0.0,0.0,0.0,0.5014843750000001,0.010329715218390859,0.49315625,0.5005859375,0.510015625,0.5023689516129032,0.010489712022203668,0.49298387096774193,0.5022681451612904,0.5126814516129032,10
uniform,2,-0.04,0.0,0.0,0.0,0.0,0.0,0.49910156249999993,0.008378074069170491,0.490671875,0.500390625,0.5033124999999999,0.5027217741935485,0.007559363716302595,0.4936088709677419,0.5037802419354839,0.509758064516129,10
uniform,3,-0.06,0.0,0.0,0.0,0.0,0.0,0.5033593749999999,0.010968767311635586,0.491953125,0.5046875,0.513484375,0.5015625,0.015146055204008082,0.48431451612903226,0.5035282258064516,0.515,10
uniform,4,-0.08,0.0,0.0,0.0,0.0,0.0,0.5027734375,0.010198646153045743,0.49271875,0.5009765625,0.514109375,0.4948588709677419,0.013615714129731634,0.4849193548387097,0.4916834677419355,0.5049395161290323,10
uniform,5,-0.1,0.0,0.0,0.0,0.0,0.0,0.5015624999999999,0.009624853444050173,0.48957812500000003,0.5033203125,0.509375,0.4907258064516129,0.011928053515146197,0.48524193548387096,0.4926915322580645,0.49848790322580644,10
uniform,6,-0.12,0.0,0.0,0.0,0.0,0.0,0.500390625,0.003923572701385248,0.49807812500000004,0.500390625,0.50334375,0.4971270161290322,0.005195038094886197,0.49247983870967743,0.4982358870967742,0.5019153225806452,10
uniform,7,-0.14,0.0,0.0,0.0,0.0,0.0,0.504296875,0.013068921617317292,0.493921875,0.501953125,0.517375,0.5002016129032258,0.010457775283501615,0.4911693548387097,0.4974798387096774,0.5091532258064516,10
uniform,8,-0.16,0.0,0.0,0.0,0.0,0.0,0.5063671875,0.005043115160808203,0.50246875,0.505078125,0.51125,0.5007560483870968,0.01176375249760437,0.4881048387096774,0.5030241935483871,0.5116733870967742,10
uniform,9,-0.18,0.0,0.0,0.0,0.0,0.0,0.5005468750000001,0.00883154278727518,0.492640625,0.4986328125,0.51065625,0.4962701612903226,0.015550209778798587,0.4819153225806452,0.4954637096774194,0.509758064516129,10
uniform,10,-0.2,0.0,0.0,0.0,0.0,0.0,0.4994140625,0.012899499785904973,0.489453125,0.4935546875,0.513375,0.4952620967741936,0.017507333126545538,0.4789717741935484,0.49521169354838707,0.5130040322580646,10
uniform,11,-0.22,0.0,0.0,0.0,0.0,0.0,0.500703125,0.012275269341777972,0.49153125000000003,0.4994140625,0.5125624999999999,0.5005040322580645,0.008517333236314897,0.4940524193548387,0.49899193548387094,0.5041532258064516,10
uniform,12,-0.24,0.0,0.0,0.0,0.0,0.0,0.49566406250000006,0.005674006476985017,0.48957812500000003,0.496484375,0.501484375,0.4966733870967742,0.012405975867458244,0.4848790322580645,0.49924395161290325,0.508366935483871,10
uniform,13,-0.26,0.0,0.0,0.0,0.0,0.0,0.5025390625,0.01176963777575145,0.493828125,0.5001953125,0.513765625,0.49984879032258067,0.00917790934851389,0.49155241935483873,0.5032762096774194,0.5066733870967742,10
uniform,14,-0.28,0.0,0.0,0.0,0.0,0.0,0.4967578125,0.008873389824836216,0.4875,0.496875,0.5045,0.5003024193548387,0.010974073454447295,0.4884879032258065,0.5027721774193548,0.5078024193548386,10
uniform,15,-0.3,0.0,0.0,0.0,0.0,0.0,0.5000390625,0.004764450845793161,0.496484375,0.499609375,0.501046875,0.496320564516129,0.012684644928760307,0.486491935483871,0.4959677419354839,0.5095564516129032,10
uniform,16,-0.32,0.0,0.0,0.0,0.0,0.0,0.5078906249999999,0.009994369617196422,0.502671875,0.5091796875,0.51425,0.49737903225806457,0.010499798350749644,0.48481854838709676,0.5005040322580645,0.5073588709677419,10
uniform,17,-0.34,0.0,0.0,0.0,0.0,0.0,0.5055078125,0.010575690445881912,0.49820312499999997,0.5015624999999999,0.512734375,0.5019657258064517,0.010701243070604317,0.4911088709677419,0.5030241935483871,0.5120766129032258,10
uniform,18,-0.36,0.0,0.0,0.0,0.0,0.0,0.5035546875000001,0.008360652647689202,0.497953125,0.4998046875,0.5145156249999999,0.4995967741935483,0.009636262542438137,0.49044354838709675,0.4969758064516129,0.5096370967741936,10
uniform,19,-0.38,0.0,0.0,0.0,0.0,0.0,0.5035546875,0.011911678666341432,0.492984375,0.502734375,0.513390625,0.49722782258064513,0.009187746009378975,0.49004032258064517,0.4982358870967742,0.5052217741935484,10
uniform,20,-0.4,0.0,0.0,0.0,0.0,0.0,0.49785156250000007,0.008481051598688566,0.49417187500000004,0.49726562500000004,0.502453125,0.5053427419354838,0.012658247214372845,0.4905645161290323,0.5055443548387097,0.5180443548387097,10
uniform,21,-0.42,0.0,0.0,0.0,0.0,0.0,0.502734375,0.007100832398143725,0.49526562500000004,0.5037109375,0.5086406250000001,0.491280241935484,0.01014776601297313,0.48028225806451613,0.4936995967741935,0.5013508064516129,10
uniform,22,-0.44,0.0,0.0,0.0,0.0,0.0,0.5021875,0.006993048228369774,0.4943125,0.5021484375,0.509359375,0.5003024193548387,0.008414638702670115,0.4927016129032258,0.5012600806451613,0.5068346774193548,10
uniform,23,-0.46,0.0,0.0,0.0,0.0,0.0,0.49800781250000004,0.0071518638380849205,0.49078125,0.4984375,0.5023593749999999,0.5032762096774194,0.013950457983823841,0.4896975806451613,0.506804435483871,0.5164112903225806,10
uniform,24,-0.48,0.0,0.0,0.0,0.0,0.0,0.5059375,0.010277059260732664,0.49746875,0.5021484375,0.5162343749999999,0.5006048387096775,0.0075876899984935135,0.4933266129032258,0.5002520161290323,0.5074596774193548,10
uniform,25,-0.5,0.0,0.0,0.0,0.0,0.0,0.49765625,0.006838107294531704,0.491796875,0.4994140625,0.503046875,0.4945564516129032,0.008658016466422768,0.48661290322580647,0.49445564516129037,0.5028024193548387,10
uniform,26,-0.52,0.0,0.0,0.0,0.0,0.0,0.508828125,0.011557337436066795,0.499,0.5015625,0.521921875,0.4988407258064516,0.009808288736040005,0.49477822580645164,0.498991935483871,0.5050806451612903,10
uniform,27,-0.54,0.0,0.0,0.0,0.0,0.0,0.4980468750000001,0.010486420099844221,0.48703124999999997,0.5001953125,0.5065625,0.503125,0.009627470597653526,0.4934475806451613,0.5035282258064516,0.5130040322580646,10
uniform,28,-0.56,0.0,0.0,0.0,0.0,0.0,0.5079296875,0.011387163563948578,0.49682812499999995,0.50859375,0.514765625,0.4955141129032258,0.011051608877047954,0.48558467741935485,0.49773185483870963,0.5041733870967742,10
uniform,29,-0.58,0.0,0.0,0.0,0.0,0.0,0.496953125,0.009498606440186675,0.492390625,0.4970703125,0.502265625,0.4967237903225808,0.013893686754399606,0.4874193548387097,0.4952116935483871,0.5074395161290323,10
uniform,30,-0.6,0.0,0.0,0.0,0.0,0.0,0.5023046875,0.011101281798683636,0.491265625,0.50234375,0.51178125,0.491733870967742,0.016038120241254374,0.47816532258064515,0.49243951612903225,0.5068951612903226,10
uniform,31,-0.62,0.0,0.0,0.0,0.0,0.0,0.4966796875,0.012475901792757699,0.483015625,0.5013671875000001,0.506296875,0.5004536290322581,0.007439860641749635,0.4932661290322581,0.49974798387096775,0.5083467741935483,10
uniform,32,-0.64,0.0,0.0,0.0,0.0,0.0,0.5015234375000001,0.009051961215373048,0.494609375,0.4998046875,0.511484375,0.4932459677419355,0.005742921125282829,0.4867540322580645,0.49470766129032256,0.49675403225806447,10
uniform,33,-0.66,0.0,0.0,0.0,0.0,0.0,0.5033984375,0.009159209946530213,0.49315625,0.503125,0.5119843749999999,0.5021673387096774,0.011496282308448211,0.4905241935483871,0.502016129032258,0.5143951612903226,10
uniform,34,-0.68,0.0,0.0,0.0,0.0,0.0,0.49624999999999997,0.005717910343640982,0.490015625,0.4966796875,0.501046875,0.5003024193548388,0.009917474214882902,0.4935483870967742,0.4982358870967742,0.5068951612903226,10
uniform,35,-0.7,0.0,0.0,0.0,0.0,0.0,0.5010937499999999,0.012126583874213444,0.488453125,0.503125,0.5130781249999999,0.4933971774193548,0.013851363215503192,0.4856451612903226,0.4926915322580645,0.5066733870967742,10
uniform,36,-0.72,0.0,0.0,0.0,0.0,0.0,0.49859374999999995,0.009726832674181648,0.48834375,0.4998046875,0.508234375,0.5025201612903225,0.0132930379333686,0.4874798387096774,0.5025201612903225,0.513225806451613,10
