prior,run,seed,iteration,log_X,order,symmetry,ising
dsl,0,42,0,0.0,0.0,1.0,1.0
dsl,0,42,1,-0.02,0.0,0.76484375,0.9758064516129032
dsl,0,42,2,-0.04,0.0,0.8,0.967741935483871
dsl,0,42,3,-0.06,0.0,0.3125,0.96875
dsl,0,42,4,-0.08,0.0,0.4,0.9838709677419355
dsl,0,42,5,-0.1,0.0,0.4,0.9838709677419355
dsl,0,42,6,-0.12,0.0,1.0,1.0
dsl,0,42,7,-0.14,0.0,0.4,0.9838709677419355
dsl,0,42,8,-0.16,0.0,1.0,1.0
dsl,0,42,9,-0.18,0.0,0.4,0.9838709677419355
dsl,0,42,10,-0.2,0.0,1.0,1.0
dsl,0,42,11,-0.22,0.0,0.4,0.9838709677419355
dsl,0,42,12,-0.24,0.0,0.4,0.9838709677419355
dsl,0,42,13,-0.26,0.0,1.0,1.0
dsl,0,42,14,-0.28,0.0,1.0,1.0
dsl,0,42,15,-0.3,0.0,0.4,0.9838709677419355
dsl,0,42,16,-0.32,0.0,0.4,0.9838709677419355
dsl,0,42,17,-0.34,0.0,0.8,0.935483870967742
dsl,0,42,18,-0.36,0.0,1.0,1.0
dsl,0,42,19,-0.38,0.0,0.74375,0.9758064516129032
dsl,0,42,20,-0.4,0.0,1.0,1.0
dsl,0,42,21,-0.42,0.0,0.4,0.9838709677419355
dsl,0,42,22,-0.44,0.0,0.4,0.9838709677419355
dsl,0,42,23,-0.46,0.0,1.0,1.0
dsl,0,42,24,-0.48,0.0,1.0,1.0
dsl,0,42,25,-0.5,0.0,0.4,0.9838709677419355
dsl,0,42,26,-0.52,0.0,0.471875,0.9632056451612903
dsl,0,42,27,-0.54,0.0,0.4,0.9838709677419355
dsl,0,42,28,-0.56,0.0,1.0,1.0
dsl,0,42,29,-0.58,0.0,1.0,1.0
dsl,0,42,30,-0.6,0.0,0.4,0.967741935483871
dsl,0,42,31,-0.62,0.0,1.0,0.935483870967742
dsl,0,42,32,-0.64,0.0,0.76640625,0.970766129032258
dsl,0,42,33,-0.66,0.0,0.4,0.9838709677419355
dsl,0,42,34,-0.68,0.0,0.8,0.967741935483871
dsl,0,42,35,-0.7,0.0,1.0,1.0
dsl,0,42,36,-0.72,0.0,0.4,0.9838709677419355
