prior,run,seed,iteration,log_X,order,symmetry,ising
uniform,1,43,0,-0.02,1.0924785141663413e-06,0.509375,0.4621975806451613
uniform,1,43,1,-0.04,4.646885912786261e-06,0.49609375,0.49243951612903225
uniform,1,43,2,-0.06,4.720178538309926e-06,0.498828125,0.4848790322580645
uniform,1,43,3,-0.08,4.9898220783702244e-06,0.483984375,0.4798387096774194
uniform,1,43,4,-0.1,5.761868705924006e-06,0.510546875,0.48689516129032256
uniform,1,43,5,-0.12,5.990927714538669e-06,0.5109375,0.48286290322580644
uniform,1,43,6,-0.14,6.177902152972215e-06,0.49140625,0.48689516129032256
uniform,1,43,7,-0.16,6.400415157233099e-06,0.5125,0.4894153225806452
uniform,1,43,8,-0.18,6.76030159200008e-06,0.49453125,0.4894153225806452
uniform,1,43,9,-0.2,7.713262853874084e-06,0.5125,0.483366935483871
uniform,1,43,10,-0.22,8.077907570371016e-06,0.515234375,0.49143145161290325
uniform,1,43,11,-0.24,8.599731196332003e-06,0.499609375,0.4879032258064516
uniform,1,43,12,-0.26,8.94302580368175e-06,0.50078125,0.4879032258064516
uniform,1,43,13,-0.28,8.994417807562331e-06,0.493359375,0.4894153225806452
uniform,1,43,14,-0.3,9.33116813246697e-06,0.52578125,0.4959677419354839
uniform,1,43,15,-0.32,9.392108807427436e-06,0.493359375,0.4909274193548387
uniform,1,43,16,-0.34,9.439377526996885e-06,0.502734375,0.4934475806451613
uniform,1,43,17,-0.36,9.544488933515777e-06,0.51015625,0.4889112903225806
uniform,1,43,18,-0.38,1.0107180650567063e-05,0.498828125,0.49193548387096775
uniform,1,43,19,-0.4,1.144858364751168e-05,0.504296875,0.4944556451612903
uniform,1,43,20,-0.42,1.1468470936581006e-05,0.505859375,0.4909274193548387
uniform,1,43,21,-0.44,1.1516535396498397e-05,0.505078125,0.4954637096774194
uniform,1,43,22,-0.46,1.2253671206215109e-05,0.4953125,0.49243951612903225
uniform,1,43,23,-0.48,1.3110391045173493e-05,0.49921875,0.49848790322580644
