prior,iteration,log_X,order_mean,order_std,order_q16,order_q50,order_q84,symmetry_mean,symmetry_std,symmetry_q16,symmetry_q50,symmetry_q84,ising_mean,ising_std,ising_q16,ising_q50,ising_q84,n_runs
cppn,25,-0.52,0.007309989987866675,0.003469777354668503,0.004274991775069136,0.00704455521124716,0.009691000151366945,0.9884765625,0.013173904940292686,0.9781093750000001,0.9908203125,1.0,0.9958165322580645,0.004595332120684962,0.9920967741935484,0.996975806451613,1.0,10
cppn,26,-0.54,0.008343103605417967,0.005078233465671587,0.004274991775069136,0.007123817908021285,0.012854389967577168,0.9822656249999999,0.024801320993113905,0.953671875,0.9958984375,1.0,0.9967741935483871,0.0036901220197022417,0.9918750000000001,0.9982358870967742,1.0,10
cppn,27,-0.56,0.009272387766325637,0.005957919346314303,0.004274991775069136,0.0073677578673581965,0.01675734896826324,0.9730078124999999,0.039650714476899974,0.940421875,0.992578125,1.0,0.996219758064516,0.004212013150780137,0.9915927419354839,0.9974798387096775,1.0,10
cppn,28,-0.58,0.010962887125413243,0.007925493351346971,0.004274991775069136,0.007951773549253754,0.020714521212046866,0.958359375,0.05765456797079747,0.91203125,0.982421875,1.0,0.9953629032258065,0.004556778701743493,0.9904233870967742,0.9954637096774194,1.0,10
cppn,29,-0.6,0.011884010679093008,0.009001901765118881,0.004274991775069136,0.00827702788972524,0.022755174975019596,0.9600390624999999,0.05007117397914866,0.8944218749999999,0.984375,1.0,0.9950604838709676,0.0049373440839256336,0.9895766129032258,0.995211693548387,1.0,10
cppn,30,-0.62,0.01251663059532868,0.00917306066525514,0.004274991775069136,0.008900949674495891,0.023485405467736885,0.9669140624999999,0.04233795589330087,0.934609375,0.9810546874999999,1.0,0.9928427419354839,0.007011505603907198,0.9856250000000001,0.9919354838709677,1.0,10
cppn,31,-0.64,0.013922476016571627,0.010234777372058591,0.004274991775069136,0.010558133906476953,0.024623266514039656,0.9508984375,0.0661748034697332,0.865625,0.9853515625,1.0,0.9933971774193548,0.006110835398096672,0.9879435483870967,0.9947076612903225,1.0,10
cppn,32,-0.66,0.015558316569205383,0.01112914773547251,0.004274991775069136,0.013074934501256038,0.028747228613489256,0.9392968750000001,0.07005358385939393,0.857234375,0.969140625,1.0,0.991280241935484,0.007218794663521877,0.9833467741935483,0.9906754032258065,1.0,10
cppn,33,-0.68,0.01870614195702483,0.01347410011896933,0.0051634702009848215,0.016706070007861566,0.030810979240762953,0.91703125,0.07364365088409316,0.8581875,0.919140625,0.9993124999999999,0.9921370967741936,0.005964736662163184,0.9866532258064517,0.9914314516129032,0.9995564516129032,10
cppn,34,-0.7,0.02038556741101826,0.013546999503303223,0.006920950115830292,0.017081342374790247,0.033231060325694534,0.89765625,0.10662194268078361,0.79396875,0.9267578125,0.987109375,0.9904233870967742,0.006915025412384617,0.9822983870967743,0.9914314516129032,0.9977822580645161,10
