prior,iteration,log_X,order_mean,order_std,order_q16,order_q50,order_q84,symmetry_mean,symmetry_std,symmetry_q16,symmetry_q50,symmetry_q84,ising_mean,ising_std,ising_q16,ising_q50,ising_q84,n_runs
uniform,0,-0.02,2.726635945090778e-06,1.2941339737310582e-06,1.5635429301018193e-06,2.498032116929636e-06,3.6038992763116677e-06,0.4959765625,0.008011887090063343,0.487828125,0.495703125,0.50328125,0.4717741935483872,0.006326670155834244,0.46538306451612904,0.47379032258064513,0.4782258064516129,10
uniform,1,-0.04,3.740458524317087e-06,1.2497428144216767e-06,2.6949959554945667e-06,3.571538204053185e-06,4.950527514493358e-06,0.5059765625000001,0.010224546674997451,0.49543750000000003,0.5068359375,0.5169843749999999,0.4798891129032258,0.00582224531210531,0.47461693548387096,0.4798387096774194,0.48320564516129033,10
uniform,2,-0.06,4.3344613004048525e-06,1.1780342109121365e-06,3.2492591267026885e-06,4.03025208888436e-06,5.693201380409138e-06,0.503671875,0.007825943294891741,0.497515625,0.501171875,0.5086562499999999,0.4815524193548387,0.0033702806231504837,0.4785483870967742,0.4810987903225806,0.4839919354838709,10
uniform,3,-0.08,4.776252751230464e-06,1.4557503585656861e-06,3.572739656507528e-06,4.151084099295417e-06,6.5422354275292945e-06,0.49789062500000003,0.010467324737141648,0.48553125,0.501171875,0.505953125,0.4810987903225806,0.003652060671922751,0.4782056451612903,0.4798387096774194,0.48506048387096773,10
uniform,4,-0.1,5.38423990724544e-06,1.2503761913729495e-06,4.233739842410216e-06,4.970485846150739e-06,6.556759969204506e-06,0.5068750000000001,0.01128268544653339,0.498109375,0.5080078125,0.5164218749999999,0.4840725806451613,0.0035656299448608313,0.48151209677419354,0.483366935483871,0.486008064516129,10
uniform,5,-0.12,5.681933065316392e-06,1.2839627690002959e-06,4.625400009073376e-06,5.287270054860016e-06,6.764646156683605e-06,0.505390625,0.010036689421747156,0.497640625,0.5074218749999999,0.51246875,0.4845766129032258,0.0030073455423742608,0.48308467741935485,0.4856350806451613,0.48667338709677416,10
uniform,6,-0.14,6.245461541293398e-06,1.3936482994950629e-06,4.859872926511003e-06,6.114420468785658e-06,7.72047884944761e-06,0.500234375,0.010133186954980316,0.49140625,0.496484375,0.51290625,0.4865927419354838,0.0038400657599896955,0.483366935483871,0.4866431451612903,0.4898790322580645,10
uniform,7,-0.16,6.758413020296482e-06,1.1551222312101792e-06,5.715259407387948e-06,6.495037464369766e-06,7.974276244775871e-06,0.501484375,0.008318671998549071,0.4914375,0.5033203125000001,0.509609375,0.48553427419354833,0.0034023733038908086,0.48207661290322584,0.4848790322580645,0.48875,10
uniform,8,-0.18,7.164481118158936e-06,1.2058530062088988e-06,6.128740573358648e-06,6.890283470034223e-06,8.480155764316406e-06,0.4996875,0.010048507027891415,0.49470312499999997,0.495703125,0.509609375,0.4882056451612903,0.002615793072046845,0.48538306451612906,0.4886592741935484,0.4907056451612903,10
uniform,9,-0.2,7.725752235617183e-06,1.3934091552946814e-06,6.656280982641162e-06,7.551228443095157e-06,8.728795307564519e-06,0.5005078125,0.009058701460867215,0.491578125,0.49980468749999996,0.509484375,0.4882056451612902,0.0043306380695829665,0.4840927419354839,0.4873991935483871,0.49272177419354835,10
uniform,10,-0.22,8.283923830364406e-06,1.5905663578470436e-06,6.767744406561786e-06,8.129294312399887e-06,9.78960125678212e-06,0.503984375,0.007468103470389549,0.49790625,0.5035156249999999,0.511640625,0.4913306451612904,0.004079583389993599,0.4883467741935484,0.4891633064516129,0.4964717741935484,10
uniform,11,-0.24,8.762107803484843e-06,1.86993279253143e-06,7.1187084053460435e-06,8.451767584429615e-06,1.0359640099405031e-05,0.4998046875,0.00693229460148949,0.493140625,0.499609375,0.50675,0.4914818548387096,0.005513466827686129,0.4879032258064516,0.49193548387096775,0.49681451612903227,10
uniform,12,-0.26,9.06123708079605e-06,1.8553574447842317e-06,7.3214672314430655e-06,9.22212065963127e-06,1.0471655341867431e-05,0.5041015625,0.009077771645207572,0.495515625,0.503125,0.515203125,0.4890120967741936,0.005150016038082577,0.48560483870967747,0.4886592741935484,0.4942338709677419,10
uniform,13,-0.28,9.668823077983543e-06,1.5998657647884928e-06,8.499325093067994e-06,9.78844601912156e-06,1.0728957875343313e-05,0.5003124999999999,0.010195902827204943,0.491609375,0.5005859375,0.509375,0.4911290322580645,0.003743285602589684,0.4875,0.4916834677419355,0.4942338709677419,10
