prior,iteration,log_X,order_mean,order_std,order_q16,order_q50,order_q84,symmetry_mean,symmetry_std,symmetry_q16,symmetry_q50,symmetry_q84,ising_mean,ising_std,ising_q16,ising_q50,ising_q84,n_runs
dsl,0,0.0,0.0,0.0,0.0,0.0,0.0,0.650625,0.3024272467608256,0.4,0.453125,1.0,0.982560483870968,0.018502858745009468,0.9748387096774194,0.9838709677419355,1.0,10
dsl,1,-0.02,0.0,0.0,0.0,0.0,0.0,0.7310156250000002,0.2704960966300636,0.4,0.782421875,1.0,0.9798387096774194,0.019845192285259928,0.967741935483871,0.9838709677419355,1.0,10
dsl,2,-0.04,0.0,0.0,0.0,0.0,0.0,0.7884374999999999,0.2258822402455167,0.5464375,0.8140625,1.0,0.9759072580645161,0.02438159632041533,0.9496774193548387,0.9838709677419355,1.0,10
dsl,3,-0.06,0.0,0.0,0.0,0.0,0.0,0.6431250000000001,0.29024130884681304,0.4,0.559375,1.0,0.9760080645161292,0.01872577635147108,0.967741935483871,0.9763104838709677,0.9929032258064516,10
dsl,4,-0.08,0.0,0.0,0.0,0.0,0.0,0.711171875,0.265152779289634,0.44675,0.649609375,1.0,0.9730846774193548,0.024824917693169808,0.9444758064516129,0.9763104838709677,1.0,10
dsl,5,-0.1,0.0,0.0,0.0,0.0,0.0,0.61859375,0.2386175052297784,0.4,0.569921875,0.8803749999999999,0.9807459677419355,0.0106731136552955,0.9712903225806452,0.9838709677419355,0.9838709677419355,10
dsl,6,-0.12,0.0,0.0,0.0,0.0,0.0,0.6912890625,0.3080698375488911,0.4,0.6564453125,1.0,0.9824092741935484,0.02414969750992913,0.9748387096774194,0.9838709677419355,1.0,10
dsl,7,-0.14,0.0,0.0,0.0,0.0,0.0,0.45,0.1269295517643985,0.4,0.4,0.45599999999999996,0.9758064516129034,0.02047250834909651,0.9748387096774194,0.9838709677419355,0.9838709677419355,10
dsl,8,-0.16,0.0,0.0,0.0,0.0,0.0,0.5771875,0.25412418531595926,0.4,0.4359375,0.9119999999999999,0.9842741935483872,0.010138721594433383,0.9770967741935485,0.9838709677419355,0.9929032258064516,10
dsl,9,-0.18,0.0,0.0,0.0,0.0,0.0,0.64,0.30983866769659335,0.4,0.4,1.0,0.9903225806451614,0.008328996443456802,0.9838709677419355,0.9838709677419355,1.0,10
